sku,active,marketplace_id,amazon_marketplace_id,fba_offers,mf_offers,fba_buy_box_eligible,mf_buy_box_eligible,lowest_landed_fba,lowest_landed_mf,buy_box_a_landed,buy_box_b_landed,current_quantity,cost,min_price,auto_min_price,max_price,auto_max_price,manual_price,current_price,current_shipping,fulfillment_type,currency,map_price,asin,condition,featured,has_buy_box,is_buy_box_winner,offer_position,display_group_rank,note
CU-JR0R-EPGZ,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,13,0,13,0,11.2,,11.2,,30,4.25,,8.7,,,,19.97,0.0,fba,USD,,B00FR6UYEO,new_new,True,True,False,12,43130,
3E-MP7M-Q14H,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,9,4,0,0,7.14,7.85,7.14,,26,2.5,,6.66,,,,14.99,0.0,fba,USD,,B000CSDDDG,new_new,True,True,False,12,23385,
Z3-27U6-DH3B,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,12,0,12,0,19.5,,19.52,20.49,50,6.8,,15.91,,,,26.29,0.0,fba,USD,,B0847S71K6,new_new,True,True,False,10,17825,
CR-L9I6-X2OX,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,25,7,15,5,16.11,16.99,16.13,,0,5.87,,14.5,,,,21.75,0.0,fba,USD,,B07MWF1956,new_new,False,True,False,0,73809,
GP-LPYY-4YRL,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,37,27,15,4,12.5,12.8,,,0,4.89,,9.13,,,,9.13,0.0,fba,USD,,B006K24ZWQ,new_new,False,False,False,0,9051,
PS-RE7Q-TKRU,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,31,12,17,2,58.98,59.0,59.0,64.08,0,37.73,,63.45,,,,95.18,0.0,fba,USD,,B003JV7X02,new_new,False,True,False,0,73079,
OC-8T20-OSPY,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,15,4,15,3,17.13,16.85,17.5,,0,6.51,,14.45,,,,23.99,0.0,fba,USD,,B019GMPQWE,new_new,False,True,False,0,76633,
JA-LPH1-HWUV,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,23,9,13,7,22.95,21.95,23.81,,0,11.9,,22.38,,,,28.57,0.0,fba,USD,,B00RXYPJZM,new_new,False,True,False,0,20977,
ID-4IGL-KIG0,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,0,0,0,0,,,,,1,11.96,,22.23,,,,33.35,0.0,fba,USD,,B07MYBWV4X,new_new,False,False,False,0,93447,
FT-VCYU-JFDB,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,7,1,0,0,19.8,20.5,20.5,,7,5.9,,12.65,,,,22.17,0.0,fba,USD,,B07MSJV32N,new_new,False,True,False,0,56995,
FH-EY5B-KEAV,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,12,16,8,11,21.0,21.0,21.19,,0,9.9,,21.05,,,,31.58,0.0,fba,USD,,B07JPM7X35,new_new,False,True,False,0,41667,
3O-QAPU-7T6I,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,16,8,16,4,19.27,19.27,19.27,,14,13.99,,23.66,,,,23.79,0.0,fba,USD,,B0CVNMX3YD,new_new,True,True,False,7,23285,
YW-JHGO-YGUE,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,1,1,0,0,34.95,36.1,,,0,6.52,,15.9,,,,36.09,0.0,fba,USD,,B0C3216HJ2,new_new,False,False,False,0,125457,
YR-OIDD-F9JT,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,35,12,14,6,29.99,31.32,32.44,,5,16.32,,29.53,,,,44.3,0.0,fba,USD,,B004ZAKHHM,new_new,False,True,False,0,10571,
P2-LT04-IHII,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,18,6,0,0,9.99,19.0,9.99,,31,8.64,,17.08,,,,17.08,0.0,fba,USD,,B07MRG8X6X,new_new,True,True,False,10,22380,
KL-QKT0-WQLE,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,29,9,17,3,11.2,10.48,10.48,11.27,7,4.9,,11.24,,,,11.27,0.0,fba,USD,,B0CMVL597V,new_new,True,True,False,4,71543,
DR-X8YH-0SQS,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,19,9,15,4,21.15,23.09,21.21,22.5,21,9.99,,18.98,,,,22.5,0.0,fba,USD,,B002FZAVOS,new_new,True,True,False,2,40224,
RZ-UA1T-Q14H,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,33,20,14,5,9.99,11.04,9.99,12.34,0,5.21,,12.02,,,,16.86,0.0,fba,USD,,B0199ARNWY,new_new,False,True,False,0,8984,
M0-056I-M9A0,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,13,5,13,5,14.29,13.74,14.54,,0,,,,,,,20.0,0.0,fba,USD,,B07VMT3KHD,new_new,False,True,False,0,29980,
G9-OMRL-QDXQ,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,15,2,0,0,7.99,7.95,7.99,,0,4.38,8.0,9.62,,,,14.5,0.0,fba,USD,,B0000CFH6O,new_new,False,True,False,0,14635,
T0-ATAL-U9RU,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,18,3,18,0,17.0,24.99,17.0,,23,9.6,17.0,18.14,,,,17.0,0.0,fba,USD,,B07JYLC3DK,new_new,True,True,False,3,21814,
FN-A7MI-5KKL,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,38,9,19,1,23.75,23.75,23.75,25.03,0,11.95,,22.16,,,,33.24,0.0,fba,USD,,B016V1Z3EY,new_new,False,True,False,0,61381,
